| module                                                                           | #parameters or shape      | #flops        |
|:---------------------------------------------------------------------------------|:--------------------------|:--------------|
| model                                                                            | 5.227M                    | 0.988G        |
|  backbone.body                                                                   |  0.973M                   |  0.314G       |
|   backbone.body.trunk0                                                           |   1.344K                  |   22.098M     |
|    backbone.body.trunk0.fbnetv2_0_0                                              |    0.48K                  |    7.721M     |
|     backbone.body.trunk0.fbnetv2_0_0.conv                                        |     0.448K                |     7.188M    |
|      backbone.body.trunk0.fbnetv2_0_0.conv.weight                                |      (16, 3, 3, 3)        |               |
|      backbone.body.trunk0.fbnetv2_0_0.conv.bias                                  |      (16,)                |               |
|     backbone.body.trunk0.fbnetv2_0_0.bn                                          |     32                    |     0.532M    |
|      backbone.body.trunk0.fbnetv2_0_0.bn.weight                                  |      (16,)                |               |
|      backbone.body.trunk0.fbnetv2_0_0.bn.bias                                    |      (16,)                |               |
|    backbone.body.trunk0.fbnetv2_0_1                                              |    0.432K                 |    7.188M     |
|     backbone.body.trunk0.fbnetv2_0_1.dw.conv                                     |     0.144K                |     2.396M    |
|      backbone.body.trunk0.fbnetv2_0_1.dw.conv.weight                             |      (16, 1, 3, 3)        |               |
|     backbone.body.trunk0.fbnetv2_0_1.pwl                                         |     0.288K                |     4.792M    |
|      backbone.body.trunk0.fbnetv2_0_1.pwl.conv                                   |      0.256K               |      4.26M    |
|       backbone.body.trunk0.fbnetv2_0_1.pwl.conv.weight                           |       (16, 16, 1, 1)      |               |
|      backbone.body.trunk0.fbnetv2_0_1.pwl.bn                                     |      32                   |      0.532M   |
|       backbone.body.trunk0.fbnetv2_0_1.pwl.bn.weight                             |       (16,)               |               |
|       backbone.body.trunk0.fbnetv2_0_1.pwl.bn.bias                               |       (16,)               |               |
|    backbone.body.trunk0.fbnetv2_0_2                                              |    0.432K                 |    7.188M     |
|     backbone.body.trunk0.fbnetv2_0_2.dw.conv                                     |     0.144K                |     2.396M    |
|      backbone.body.trunk0.fbnetv2_0_2.dw.conv.weight                             |      (16, 1, 3, 3)        |               |
|     backbone.body.trunk0.fbnetv2_0_2.pwl                                         |     0.288K                |     4.792M    |
